occupation,entry_level_education,annual_wage_2021,judgment_and_decision.l,active_learning.l,complex_problem_solving.l,critical_thinking.l,equipment_selection.l,troubleshooting.l,repairing.l,equipment_maintenance.l,glare_sensitivity.l,peripheral_vision.l,sound_localization.l,arm_hand_steadiness.l,finger_dexterity.l,control_precision.l,inductive_reasoning.l,deductive_reasoning.l,information_ordering.l,therapy_and_counseling.l,medicine_and_dentistry.l,psychology.l,biology.l,physics.l,engineering_and_technology.l,mechanical.l,building_and_construction.l,administration_and_management.l,economics_and_accounting.l,personnel_and_human_resources.l,administrative.l,history_and_archeology.l,fine_arts.l,philosophy_and_theology.l,sociology_and_anthropology.l
Geothermal Production Managers,Bachelor's degree,103150,0.52,0.46,0.52,0.55,0.37,0.45,0.43,0,0.13,0.18,0.16,0.32,0.39,0.37,0.48,0.57,0.52,0.39,0.24,0.51,0.4,0.67,0.69,0.84,0.65,0.66,0.43,0.62,0.66,0.1,0,0.4,0.32
Geothermal Technicians,High school diploma or equivalent,42570,0.43,0.43,0.41,0.45,0.41,0.54,0.52,0.46,0.29,0.27,0.29,0.45,0.45,0.55,0.45,0.48,0.45,0,0.27,0.23,0.22,0.63,0.59,0.77,0.54,0.54,0,0.29,0.45,0.15,0,0.12,0
"Glass Blowers, Molders, Benders, and Finishers",High school diploma or equivalent,37500,0.39,0.41,0.39,0.43,0.32,0.36,0.34,0.34,0.29,0.11,0.09,0.57,0.52,0.54,0.41,0.41,0.43,0,0,0.25,0,0.44,0.62,0.6,0.47,0.38,0.32,0.4,0.27,0,0.17,0,0
Glaziers,High school diploma or equivalent,47180,0.34,0.3,0.34,0.41,0.21,0.23,0.09,0.07,0.2,0.16,0.13,0.45,0.45,0.43,0.41,0.39,0.43,0,0,0.12,0,0.15,0.23,0.45,0.71,0.28,0.12,0.16,0.18,0,0,0,0
Government Property Inspectors and Investigators,Bachelor's degree,71650,0.57,0.48,0.48,0.59,0,0.16,0,0,0.29,0.23,0.2,0.34,0.34,0.32,0.61,0.61,0.57,0,0,0.43,0.4,0.39,0.6,0.49,0.62,0.41,0.35,0.43,0.69,0.16,0,0.15,0.28
"Graders and Sorters, Agricultural Products",No formal educational credential,29630,0.27,0.21,0.23,0.32,0,0.07,0,0,0,0,0,0.36,0.39,0.29,0.29,0.3,0.27,0,0,0,0,0,0,0.36,0,0.21,0,0.16,0.16,0,0,0,0
Graphic Designers,Bachelor's degree,50710,0.43,0.45,0.43,0.52,0,0,0,0,0,0,0,0.36,0.39,0.3,0.45,0.46,0.48,0,0,0.37,0,0,0.34,0.1,0,0.47,0.3,0.27,0.59,0.23,0.7,0.27,0.43
"Grinding and Polishing Workers, Hand",No formal educational credential,35670,0.36,0.32,0.36,0.41,0.32,0.39,0.37,0.39,0.21,0.18,0.16,0.5,0.52,0.5,0.39,0.41,0.41,0,0,0.2,0,0.26,0.35,0.43,0.26,0.38,0.21,0.28,0.27,0,0,0,0
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",High school diploma or equivalent,37550,0.41,0.32,0.39,0.41,0.3,0.37,0.36,0.36,0.11,0.07,0.14,0.43,0.43,0.57,0.41,0.41,0.46,0,0,0,0,0.16,0.28,0.48,0,0.46,0,0,0.28,0,0,0,0
"Hairdressers, Hair Stylists, and Cosmetologists",Postsecondary nondegree award,29670,0.36,0.43,0.41,0.5,0.16,0.09,0,0.05,0,0,0,0.54,0.54,0.43,0.43,0.45,0.43,0.11,0,0.23,0.16,0,0.16,0.16,0,0.42,0.3,0.32,0.4,0,0,0,0.09
Hazardous Materials Removal Workers,High school diploma or equivalent,46300,0.43,0.43,0.43,0.52,0.3,0.39,0.3,0.37,0.3,0.23,0.18,0.45,0.41,0.54,0.46,0.52,0.46,0.18,0.23,0.33,0.27,0.41,0.37,0.55,0.5,0.52,0.26,0.37,0.41,0.12,0.14,0.17,0.17
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Bachelor's degree,99040,0.55,0.55,0.54,0.6,0,0.37,0,0,0.11,0.12,0.07,0.21,0.26,0.17,0.65,0.64,0.53,0.31,0.33,0.55,0.51,0.55,0.67,0.6,0.53,0.62,0.39,0.51,0.62,0.22,0,0.25,0.41
Health Education Specialists,Bachelor's degree,60600,0.45,0.52,0.43,0.57,0,0,0,0,0,0,0,0.29,0.27,0.23,0.54,0.55,0.43,0.49,0.5,0.7,0.42,0,0,0,0,0.55,0.24,0.39,0.78,0.12,0,0.52,0.56
Health Informatics Specialists,Bachelor's degree,99270,0.57,0.68,0.57,0.61,0.32,0.32,0,0,0,0,0,0.25,0.32,0.27,0.59,0.7,0.57,0.54,0.56,0.61,0.34,0,0.53,0.17,0.14,0.62,0.34,0.5,0.72,0.14,0,0.28,0.54
"Health Specialties Teachers, Postsecondary",Doctoral or professional degree,102720,0.55,0.57,0.57,0.59,0.09,0.11,0.11,0.11,0,0,0,0.16,0.23,0.16,0.55,0.55,0.54,0.53,0.64,0.66,0.74,0.36,0.36,0.29,0,0.55,0.27,0.52,0.6,0.32,0.18,0.44,0.54
Healthcare Social Workers,Master's degree,60840,0.55,0.57,0.55,0.57,0,0,0,0,0,0,0,0,0.23,0,0.57,0.59,0.52,0.94,0.37,0.89,0.32,0,0,0,0,0.48,0.26,0.43,0.48,0.26,0.11,0.62,0.71
Hearing Aid Specialists,High school diploma or equivalent,59500,0.45,0.45,0.43,0.52,0.29,0.3,0.32,0.29,0,0,0.09,0.45,0.48,0.45,0.43,0.45,0.45,0.68,0.63,0.62,0.4,0.33,0.54,0.4,0,0.53,0.47,0.5,0.65,0,0.1,0.17,0.28
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",High school diploma or equivalent,38450,0.37,0.37,0.37,0.43,0.37,0.39,0.41,0.45,0.27,0.25,0.25,0.43,0.43,0.52,0.41,0.43,0.46,0,0.08,0.25,0,0.32,0.36,0.39,0,0.34,0.09,0.14,0.18,0,0,0,0
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Postsecondary nondegree award,48630,0.43,0.44,0.44,0.5,0.4,0.55,0.56,0.54,0.27,0.18,0.27,0.46,0.47,0.45,0.48,0.47,0.52,0,0,0.27,0.16,0.58,0.61,0.79,0.64,0.49,0.18,0.34,0.37,0,0,0,0.11
Heavy and Tractor-Trailer Truck Drivers,Postsecondary nondegree award,48310,0.39,0.32,0.41,0.43,0.27,0.39,0.39,0.39,0.39,0.41,0.39,0.41,0.39,0.57,0.43,0.43,0.45,0,0.14,0.28,0,0.22,0.21,0.49,0.15,0.36,0.17,0.21,0.32,0,0,0,0.1
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",No formal educational credential,37870,0.34,0.3,0.34,0.34,0.27,0.32,0.29,0.29,0.36,0.25,0.2,0.41,0.43,0.43,0.29,0.32,0.34,0,0,0,0,0.23,0.35,0.53,0.67,0.23,0,0,0,0,0,0,0
Helpers--Carpenters,No formal educational credential,36690,0.3,0.3,0.3,0.39,0.3,0.3,0.3,0.3,0.29,0.21,0.25,0.43,0.41,0.41,0.32,0.41,0.39,0,0.19,0.31,0,0.34,0.45,0.7,0.77,0.45,0.19,0.18,0.32,0,0,0,0.17
Helpers--Electricians,High school diploma or equivalent,36360,0.34,0.34,0.34,0.39,0.3,0.37,0.37,0.37,0.25,0.11,0,0.45,0.45,0.43,0.41,0.39,0.43,0,0,0.2,0,0.39,0.38,0.71,0.53,0.27,0,0,0,0,0,0,0
Helpers--Extraction Workers,High school diploma or equivalent,37760,0.37,0.37,0.37,0.41,0.39,0.43,0.45,0.45,0.39,0.32,0.29,0.45,0.46,0.54,0.41,0.41,0.41,0,0.11,0.18,0.14,0.35,0.41,0.63,0.36,0.38,0.24,0.27,0.24,0,0,0,0
"Helpers--Installation, Maintenance, and Repair Workers",High school diploma or equivalent,33100,0.37,0.36,0.3,0.39,0.34,0.45,0.46,0.46,0.29,0.21,0.29,0.43,0.45,0.48,0.36,0.37,0.41,0.21,0,0,0.1,0.51,0.61,0.74,0.57,0.36,0.21,0.31,0.33,0,0,0,0
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",No formal educational credential,33370,0.3,0.29,0.3,0.32,0.23,0.34,0.3,0.3,0.25,0.27,0.18,0.41,0.41,0.32,0.32,0.32,0.3,0,0,0.11,0,0.09,0.12,0.21,0.51,0.32,0.12,0.13,0.1,0,0,0,0
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",High school diploma or equivalent,35720,0.3,0.27,0.29,0.34,0.29,0.29,0.37,0.25,0.23,0.13,0.11,0.43,0.41,0.45,0.36,0.39,0.43,0,0,0,0,0.27,0.37,0.63,0.66,0.39,0.17,0.26,0.3,0,0,0,0
Helpers--Production Workers,High school diploma or equivalent,30000,0.27,0.27,0.29,0.32,0.21,0.27,0.25,0.25,0.13,0.16,0.11,0.45,0.43,0.48,0.39,0.37,0.37,0,0,0.17,0,0.13,0.24,0.38,0.19,0.2,0,0.15,0.1,0,0,0,0
Helpers--Roofers,No formal educational credential,36360,0.34,0.3,0.37,0.32,0.32,0.32,0.29,0.34,0.36,0.23,0.27,0.39,0.43,0.39,0.34,0.36,0.32,0,0.27,0.31,0,0.15,0.15,0.39,0.56,0.35,0.12,0.17,0.15,0,0,0,0
Highway Maintenance Workers,High school diploma or equivalent,45880,0.37,0.3,0.39,0.39,0.21,0.39,0.32,0.32,0.3,0.29,0.3,0.43,0.43,0.54,0.41,0.41,0.41,0.13,0,0.41,0.27,0.3,0.52,0.6,0.5,0.33,0.43,0.24,0.32,0,0,0.13,0
Historians,Master's degree,63940,0.48,0.54,0.45,0.59,0,0,0,0,0,0,0,0.07,0.07,0.13,0.55,0.52,0.46,0,0.1,0.33,0.2,0,0.17,0.2,0.28,0.51,0.22,0.22,0.58,0.78,0.51,0.5,0.53
"History Teachers, Postsecondary",Doctoral or professional degree,78130,0.54,0.57,0.54,0.55,0,0,0,0,0,0,0,0,0,0,0.55,0.55,0.5,0.23,0.11,0.43,0.2,0,0,0,0,0.43,0,0.38,0.4,0.92,0.32,0.82,0.72
Hoist and Winch Operators,No formal educational credential,52300,0.36,0.3,0.34,0.37,0.36,0.34,0.39,0.36,0.34,0.29,0.3,0.38,0.39,0.55,0.38,0.34,0.41,0,0,0,0,0.31,0.34,0.57,0,0.39,0,0.16,0,0,0,0,0
Home Appliance Repairers,High school diploma or equivalent,44320,0.43,0.32,0.43,0.46,0.41,0.52,0.55,0.45,0.2,0.21,0.21,0.52,0.54,0.45,0.43,0.43,0.43,0,0,0.28,0.11,0.32,0.44,0.63,0.19,0.46,0.25,0.32,0.54,0,0,0,0.11
Home Health Aides,High school diploma or equivalent,29430,0.43,0.43,0.43,0.46,0,0.14,0,0,0,0,0.05,0.43,0.43,0.29,0.45,0.45,0.43,0.27,0.28,0.41,0.17,0,0.11,0.14,0,0.33,0.21,0.24,0.23,0.11,0,0.3,0.21
Hospitalists,Doctoral or professional degree,208000,0.63,0.7,0.61,0.68,0,0.09,0,0,0,0,0,0.36,0.41,0.2,0.77,0.71,0.59,0.82,0.91,0.82,0.8,0.3,0.19,0,0,0.53,0.31,0.37,0.48,0.12,0,0.32,0.5
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",No formal educational credential,24600,0.27,0.34,0.25,0.37,0,0,0,0,0,0,0,0.25,0.29,0.21,0.37,0.39,0.37,0,0.15,0.3,0,0,0.15,0,0,0.33,0.25,0.26,0.25,0,0,0,0.17
"Hotel, Motel, and Resort Desk Clerks",High school diploma or equivalent,28080,0.41,0.32,0.39,0.5,0,0.07,0,0,0,0,0,0.29,0.29,0.25,0.43,0.43,0.43,0.18,0.21,0.27,0,0.08,0.2,0.23,0.13,0.4,0.39,0.29,0.6,0,0,0.19,0.19
Human Factors Engineers and Ergonomists,Bachelor's degree,95300,0.61,0.61,0.59,0.63,0.21,0.3,0,0,0,0,0,0.05,0.18,0,0.66,0.7,0.57,0.2,0.32,0.64,0.39,0.35,0.71,0.38,0.18,0.52,0.25,0.48,0.56,0,0,0.15,0.52
"Human Resources Assistants, Except Payroll and Timekeeping",Associate's degree,45630,0.43,0.45,0.39,0.52,0,0,0,0,0,0,0,0,0.2,0,0.43,0.45,0.45,0.19,0,0.18,0,0,0,0,0,0.48,0.4,0.64,0.83,0,0,0,0.13
Human Resources Managers,Bachelor's degree,126230,0.57,0.57,0.54,0.59,0,0,0,0,0,0,0,0.07,0.27,0,0.57,0.59,0.48,0.53,0.13,0.58,0,0,0.12,0,0,0.71,0.38,0.88,0.66,0.21,0,0.38,0.54
Human Resources Specialists,Bachelor's degree,62290,0.5,0.48,0.45,0.57,0,0,0,0,0,0,0,0.07,0.2,0.05,0.5,0.57,0.5,0.27,0,0.38,0,0,0,0,0,0.56,0.17,0.81,0.75,0,0,0.27,0.15
Hydroelectric Plant Technicians,High school diploma or equivalent,80850,0.48,0.45,0.45,0.46,0.43,0.52,0.54,0.54,0.29,0.21,0.29,0.39,0.46,0.5,0.52,0.52,0.5,0.22,0.26,0.37,0.26,0.64,0.63,0.84,0.65,0.36,0.21,0.32,0.34,0.23,0,0.16,0.23
Hydroelectric Production Managers,Bachelor's degree,103150,0.55,0.52,0.54,0.57,0.27,0.43,0.39,0.37,0.25,0.18,0.2,0.39,0.36,0.37,0.54,0.55,0.57,0.26,0.17,0.52,0.17,0.59,0.65,0.78,0.6,0.61,0.38,0.59,0.54,0.15,0,0.19,0.26
Hydrologists,Bachelor's degree,84030,0.54,0.63,0.59,0.64,0.23,0.29,0.2,0.29,0,0.05,0.05,0.29,0.32,0.3,0.66,0.64,0.55,0,0,0.19,0.6,0.71,0.7,0.42,0.26,0.52,0.25,0.49,0.45,0.24,0,0,0.27
Industrial Ecologists,Bachelor's degree,76530,0.66,0.57,0.57,0.61,0,0,0,0,0,0,0,0,0,0,0.66,0.68,0.55,0,0.09,0.35,0.61,0.61,0.73,0.35,0.39,0.54,0.4,0.26,0.44,0.22,0,0.17,0.42
Industrial Engineering Technologists and Technicians,Associate's degree,60220,0.57,0.52,0.55,0.55,0.23,0.18,0.43,0.29,0.07,0,0.07,0.34,0.34,0.3,0.57,0.57,0.54,0,0,0.23,0.17,0.58,0.67,0.76,0.31,0.4,0.21,0.26,0.37,0,0,0,0
Industrial Engineers,Bachelor's degree,95300,0.57,0.55,0.59,0.59,0,0.25,0,0,0,0,0,0.29,0.21,0.29,0.61,0.59,0.57,0,0,0.33,0.16,0.5,0.72,0.72,0.5,0.56,0.36,0.45,0.54,0,0,0,0.15
Industrial Machinery Mechanics,High school diploma or equivalent,59840,0.43,0.45,0.43,0.5,0.45,0.57,0.57,0.59,0.27,0.27,0.34,0.48,0.55,0.55,0.43,0.46,0.55,0,0,0.21,0,0.4,0.51,0.69,0.35,0.28,0,0,0.17,0,0,0,0
Industrial Production Managers,Bachelor's degree,103150,0.63,0.57,0.55,0.57,0.29,0.32,0.23,0.2,0,0.05,0.09,0.32,0.36,0.32,0.57,0.61,0.57,0.18,0.11,0.43,0.12,0.28,0.56,0.54,0.22,0.67,0.33,0.56,0.54,0,0,0.18,0.21
Industrial Truck and Tractor Operators,No formal educational credential,38380,0.3,0.27,0.29,0.32,0.21,0.36,0.29,0.37,0.25,0.43,0.29,0.41,0.43,0.57,0.32,0.43,0.37,0,0,0,0,0,0,0.29,0.24,0,0,0.08,0.21,0,0,0,0
Industrial-Organizational Psychologists,Master's degree,105310,0.57,0.59,0.57,0.61,0,0,0,0,0,0,0,0,0.25,0,0.57,0.66,0.55,0.47,0,0.9,0,0,0.15,0,0,0.72,0.34,0.91,0.5,0.14,0,0.32,0.6
Information Security Analysts,Bachelor's degree,102600,0.52,0.55,0.52,0.59,0.14,0.27,0.11,0.13,0,0,0,0.25,0.3,0.21,0.59,0.59,0.55,0,0,0.35,0,0.12,0.55,0.19,0.15,0.54,0.31,0.43,0.45,0,0,0,0.23
Information Technology Project Managers,Bachelor's degree,95270,0.54,0.55,0.57,0.61,0,0.09,0,0,0,0,0,0,0.21,0,0.57,0.57,0.55,0.27,0,0.38,0.09,0.22,0.61,0.33,0.34,0.65,0.51,0.55,0.59,0,0,0.2,0.35
"Inspectors, Testers, Sorters, Samplers, and Weighers",High school diploma or equivalent,38580,0.39,0.34,0.39,0.46,0.18,0.32,0.16,0.2,0.11,0.11,0.09,0.43,0.45,0.41,0.43,0.43,0.43,0.16,0,0.31,0,0.28,0.38,0.53,0.21,0.3,0,0.24,0.33,0.09,0,0,0
Instructional Coordinators,Master's degree,63740,0.59,0.59,0.55,0.59,0,0.07,0,0,0,0,0,0,0.21,0,0.59,0.59,0.55,0.44,0,0.44,0.18,0,0.19,0,0,0.54,0.28,0.52,0.65,0.44,0.17,0.52,0.52
"Insulation Workers, Floor, Ceiling, and Wall",No formal educational credential,39880,0.34,0.3,0.3,0.39,0.27,0.29,0.27,0.27,0.29,0.27,0.23,0.41,0.41,0.43,0.3,0.36,0.41,0,0,0.16,0,0.3,0.21,0.46,0.5,0.36,0,0.16,0,0,0,0,0
"Insulation Workers, Mechanical",High school diploma or equivalent,48260,0.39,0.39,0.37,0.41,0,0.27,0,0,0.2,0.2,0.14,0.43,0.43,0.41,0.41,0.41,0.39,0.21,0.14,0.31,0,0.28,0.4,0.48,0.55,0.42,0.11,0.26,0.2,0,0,0.14,0.13
"Insurance Appraisers, Auto Damage",Postsecondary nondegree award,62680,0.45,0.43,0.41,0.54,0.09,0.21,0.13,0.11,0.21,0.16,0.13,0.27,0.21,0.25,0.5,0.54,0.45,0,0,0.19,0,0.19,0,0.61,0,0.37,0.25,0.14,0.51,0,0,0,0
Insurance Claims and Policy Processing Clerks,High school diploma or equivalent,45520,0.43,0.37,0.4,0.5,0,0,0,0,0,0,0,0.14,0.26,0.13,0.44,0.47,0.46,0,0,0.19,0,0,0,0,0,0.35,0.26,0.14,0.72,0,0,0,0
Insurance Sales Agents,High school diploma or equivalent,49840,0.46,0.48,0.45,0.55,0,0,0,0,0,0,0,0,0.16,0.07,0.46,0.52,0.43,0.16,0.13,0.33,0,0,0,0,0,0.47,0.44,0.34,0.44,0,0,0,0
Insurance Underwriters,Bachelor's degree,76390,0.5,0.48,0.45,0.55,0,0,0,0,0,0,0,0.11,0.23,0.13,0.55,0.54,0.48,0,0.18,0.3,0,0,0.1,0.09,0.16,0.4,0.39,0.25,0.51,0,0,0,0.13
Intelligence Analysts,High school diploma or equivalent,83640,0.55,0.5,0.55,0.61,0,0,0,0,0,0,0,0.05,0.21,0.07,0.68,0.66,0.57,0.15,0.1,0.58,0.14,0,0.25,0,0,0.57,0.3,0.42,0.68,0.34,0,0.34,0.53
Interior Designers,Bachelor's degree,60340,0.48,0.46,0.5,0.57,0,0.13,0,0,0,0,0,0,0.14,0.09,0.46,0.55,0.5,0.29,0.2,0.52,0.12,0.23,0.55,0.37,0.64,0.62,0.36,0.46,0.61,0.35,0.63,0.35,0.39
Interpreters and Translators,Bachelor's degree,49110,0.43,0.43,0.43,0.55,0,0,0,0,0,0,0,0.13,0.21,0,0.43,0.45,0.52,0.2,0.22,0.42,0.2,0,0,0,0,0.26,0,0.26,0.59,0.22,0,0.19,0.34
"Interviewers, Except Eligibility and Loan",High school diploma or equivalent,37220,0.39,0.43,0.45,0.46,0,0,0,0,0.09,0,0,0.16,0.25,0.14,0.45,0.46,0.45,0.34,0.25,0.54,0,0,0,0,0,0.46,0.21,0.35,0.73,0,0,0,0.23
Investment Fund Managers,Bachelor's degree,131710,0.61,0.55,0.55,0.57,0,0,0,0,0,0,0,0,0.27,0,0.59,0.63,0.55,0,0.12,0.38,0,0,0.17,0,0,0.67,0.78,0.44,0.28,0.35,0,0,0.31
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",No formal educational credential,29760,0.3,0.29,0.29,0.3,0.14,0.23,0.16,0.27,0.11,0,0,0.36,0.36,0.29,0.37,0.37,0.39,0.12,0,0.13,0,0.17,0.14,0.25,0.21,0.34,0,0.14,0.1,0,0,0.13,0
Jewelers and Precious Stone and Metal Workers,High school diploma or equivalent,46640,0.41,0.38,0.41,0.42,0.29,0.28,0.2,0,0,0,0,0.68,0.68,0,0.41,0.43,0.43,0,0,0,0,0.31,0.43,0.54,0.23,0.38,0.26,0.27,0.31,0,0.35,0,0.1
"Judges, Magistrate Judges, and Magistrates",Doctoral or professional degree,148030,0.68,0.66,0.71,0.82,0,0,0,0,0,0,0,0,0.09,0,0.71,0.71,0.57,0.47,0.13,0.65,0.1,0.08,0,0,0,0.67,0.2,0.53,0.28,0.13,0,0.2,0.39
Judicial Law Clerks,Doctoral or professional degree,50750,0.52,0.59,0.52,0.66,0,0,0,0,0,0,0,0,0.21,0,0.57,0.57,0.52,0,0,0,0,0,0,0,0,0.26,0.14,0.16,0.52,0.25,0,0,0
"Kindergarten Teachers, Except Special Education",Bachelor's degree,60900,0.45,0.45,0.45,0.54,0,0.09,0,0,0,0,0,0.3,0.27,0.11,0.52,0.52,0.45,0.51,0.28,0.59,0.31,0.13,0.18,0,0,0.47,0.12,0.32,0.6,0.52,0.32,0.5,0.49
Labor Relations Specialists,Bachelor's degree,77010,0.55,0.55,0.52,0.57,0,0,0,0,0,0,0,0,0,0,0.54,0.61,0.46,0.41,0,0.49,0,0,0.11,0,0,0.66,0.45,0.74,0.51,0.22,0,0.3,0.41
"Laborers and Freight, Stock, and Material Movers, Hand",No formal educational credential,31230,0.3,0.29,0.32,0.34,0.23,0.32,0.27,0.3,0.21,0.23,0.16,0.43,0.41,0.46,0.36,0.36,0.36,0,0,0,0,0,0,0.33,0,0.21,0,0,0.26,0,0,0,0
Landscape Architects,Bachelor's degree,67950,0.54,0.54,0.54,0.55,0,0.16,0,0,0,0,0,0.25,0.27,0.27,0.55,0.55,0.55,0.2,0.12,0.43,0.6,0.41,0.7,0.4,0.77,0.63,0.41,0.53,0.6,0.51,0.61,0.43,0.52
Landscaping and Groundskeeping Workers,No formal educational credential,34430,0.32,0.29,0.3,0.27,0.25,0.29,0.29,0.27,0.25,0.23,0.13,0.39,0.36,0.5,0.36,0.34,0.37,0,0,0,0.38,0,0.33,0.39,0.22,0.33,0.25,0.22,0.3,0,0,0,0
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",High school diploma or equivalent,44240,0.34,0.29,0.36,0.43,0.32,0.37,0.3,0.36,0.11,0.11,0.13,0.45,0.45,0.48,0.37,0.39,0.41,0,0,0.22,0,0.2,0.38,0.58,0,0.27,0,0.14,0.21,0,0,0.16,0
Laundry and Dry-Cleaning Workers,No formal educational credential,28350,0.3,0.3,0.32,0.36,0.16,0.32,0.18,0.18,0,0,0,0.41,0.43,0.45,0.36,0.39,0.34,0.15,0,0.19,0.09,0.1,0.16,0.21,0,0.35,0.14,0.14,0.22,0,0,0.11,0.23
"Law Teachers, Postsecondary",Doctoral or professional degree,123470,0.59,0.68,0.54,0.7,0,0,0,0,0,0,0,0,0.13,0,0.64,0.7,0.52,0.38,0.11,0.43,0,0,0.16,0,0,0.48,0.33,0.42,0.48,0.41,0.09,0.51,0.51
Lawyers,Doctoral or professional degree,127990,0.61,0.61,0.57,0.7,0,0,0,0,0,0,0,0.05,0.29,0.11,0.61,0.63,0.55,0.33,0.16,0.27,0,0,0.15,0,0.11,0.65,0.47,0.62,0.38,0.22,0,0.25,0.31
"Layout Workers, Metal and Plastic",High school diploma or equivalent,51690,0.39,0.37,0.41,0.45,0.29,0.29,0.29,0.29,0.25,0.11,0.13,0.46,0.45,0.39,0.43,0.45,0.45,0,0,0.24,0,0.33,0.59,0.57,0.6,0.39,0.15,0.27,0.28,0,0,0,0
Legal Secretaries and Administrative Assistants,High school diploma or equivalent,47710,0.37,0.39,0.37,0.45,0,0,0,0,0,0,0,0.13,0.25,0.14,0.41,0.43,0.43,0,0,0.28,0,0,0,0,0,0.37,0,0,0.82,0,0,0.2,0.24
Librarians and Media Collections Specialists,Master's degree,61190,0.46,0.5,0.44,0.53,0,0,0,0,0,0,0,0.33,0.38,0.27,0.5,0.52,0.54,0.17,0,0.35,0,0,0.26,0.18,0,0.55,0.26,0.37,0.61,0.31,0.29,0,0.28
"Library Assistants, Clerical",High school diploma or equivalent,29450,0.32,0.3,0.3,0.41,0,0,0,0,0,0,0,0.3,0.3,0.2,0.39,0.37,0.45,0.2,0.12,0.39,0,0,0,0.1,0,0.25,0.14,0.18,0.51,0.34,0.12,0.42,0.36
"Library Science Teachers, Postsecondary",Doctoral or professional degree,77100,0.54,0.63,0.54,0.59,0,0,0,0,0,0,0,0,0.13,0,0.57,0.59,0.55,0.32,0,0.57,0,0,0.19,0,0,0.49,0.14,0.5,0.48,0.49,0.19,0.5,0.7
Library Technicians,Postsecondary nondegree award,36970,0.36,0.41,0.29,0.46,0,0.11,0,0.09,0,0,0,0.27,0.34,0.27,0.41,0.43,0.43,0,0.09,0.35,0,0,0.14,0.07,0,0.28,0.22,0.19,0.61,0.21,0.18,0.21,0.25
Licensed Practical and Licensed Vocational Nurses,Postsecondary nondegree award,48070,0.46,0.46,0.43,0.57,0,0.14,0,0,0,0,0,0.43,0.43,0.43,0.54,0.57,0.52,0.43,0.52,0.79,0.34,0.12,0,0.09,0,0.48,0.15,0.23,0.47,0,0,0.29,0.3
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",No formal educational credential,25630,0.43,0.39,0.37,0.43,0.07,0.11,0,0,0.2,0.16,0.2,0.32,0.21,0.16,0.43,0.45,0.41,0.34,0.37,0.46,0.29,0.21,0,0.28,0,0.41,0,0.28,0.32,0,0,0.19,0.26
Light Truck Drivers,High school diploma or equivalent,38280,0.3,0.3,0.29,0.41,0.2,0.27,0.29,0.29,0.29,0.29,0.29,0.36,0.34,0.43,0.36,0.39,0.39,0.11,0,0.19,0,0.14,0,0.35,0,0.32,0.14,0.16,0.18,0,0,0,0.09
"Loading and Moving Machine Operators, Underground Mining",No formal educational credential,57900,0.29,0.25,0.36,0.39,0.29,0.43,0.45,0.45,0.25,0.3,0.2,0.46,0.41,0.54,0.37,0.37,0.43,0.18,0.28,0.22,0,0.27,0.47,0.65,0.27,0.37,0.21,0.24,0.2,0,0,0.16,0
Loan Interviewers and Clerks,High school diploma or equivalent,45940,0.54,0.5,0.43,0.57,0,0.09,0,0,0,0,0,0.05,0.3,0.07,0.5,0.54,0.52,0,0,0,0,0,0,0,0,0.51,0.49,0.33,0.66,0,0,0,0
Loan Officers,Bachelor's degree,63380,0.55,0.45,0.45,0.57,0,0,0,0,0,0,0,0.14,0.23,0.13,0.55,0.55,0.45,0,0,0.3,0,0,0,0,0.15,0.55,0.6,0.38,0.49,0.13,0,0.2,0.21
"Locker Room, Coatroom, and Dressing Room Attendants",High school diploma or equivalent,28570,0.32,0.29,0.29,0.39,0,0,0,0,0,0,0,0.23,0.2,0.2,0.34,0.37,0.37,0.13,0.13,0.24,0,0.08,0,0.11,0,0.24,0.14,0.14,0.25,0.08,0,0,0.11
Locksmiths and Safe Repairers,High school diploma or equivalent,46910,0.39,0.41,0.41,0.45,0.3,0.43,0.45,0.43,0.29,0.16,0.18,0.54,0.54,0.48,0.43,0.43,0.46,0.17,0,0.2,0,0.24,0.4,0.73,0.42,0.5,0.31,0.4,0.48,0,0,0.15,0.11
Locomotive Engineers,High school diploma or equivalent,79740,0.43,0.43,0.43,0.45,0.11,0.37,0.2,0.2,0.41,0.39,0.3,0.43,0.43,0.57,0.45,0.45,0.46,0.16,0.14,0.22,0,0.19,0.23,0.43,0,0.37,0.07,0.26,0.26,0,0,0,0
