"occupation","active_listening","pure_mathematics","reading_comprehension","natural_science","speaking","writing","active_learning","critical_thinking","learning_strategies","monitoring","complex_problem_solving","management_of_financial_resources","management_of_material_resources","management_of_personal_resources","time_management","coordination","instructing","negotiation","persuasion","service_orientation","social_perceptiveness","judgment_and_decision","systems_analysis","systems_evaluation","installation","quality_control_analysis","technology_design","equipment_selection","equipment_maintenance","programming","troubleshooting","operations_monitoring","repairing","operation_and_control","operations_analysis","multitasking","selective_attention","problem_sensitivity","fluency_of_ideas","originality","deductive_reasoning","inductive_reasoning","category_flexibility","information_ordering","perceptual_speed","flexibility_of_closure","speed_of_closure","number_facility","mathematical_reasoning","spatial_orientation","visualization","written_expression","oral_expression","oral_comprehension","written_comprehension","memorization","dynamic_flexibility","gross_body_equilibrium","extent_flexibility","gross_body_coordination","explosive_strength","static_strength","dynamic_strength","trunk_strength","stamina","response_orientation","control_precision","multilimb_coordination","rate_control","arm_hand_steadiness","finger_dexterity","manual_dexterity","speed_of_limb_movement","wrist_finger_speed","reaction_time","speech_clarity","auditory_attention","speech_recognition","sound_localization","hearing_sensitivity","far_vision","glare_sensitivity","night_vision","depth_perception","visual_color_discrimination","peripheral_vision","near_vision","native_language","history_and_archeology","foreign_language","philosophy_and_theology","fine_arts","administration_and_management","economics_and_accounting","customer_and_personal_service","personnel_and_human_resources","administrative","sales_and_marketing","communications_and_media","telecommunications","building_and_construction","engineering_and_technology","mechanical","industrial_design","computers_and_electronics","education_and_training","therapy_and_counseling","medicine_and_dentistry","public_safety_and_security","law_and_government","food_production","production_and_processing","geography","chemistry","applied_mathematics","physics","sociology_and_anthropology","biology","psychology","transportation"
"Allergists and Immunologists",0.63,0.43,0.66,0,0.59,0.59,0.66,0.61,0.52,0.61,0.63,0.25,0,0.45,0.54,0.54,0.55,0.43,0.5,0.54,0.59,0.64,0.43,0.5,0,0,0,0,0,0,0.16,0.32,0,0,0,0.45,0.46,0.73,0.54,0.5,0.66,0.7,0.55,0.54,0.46,0.52,0.48,0.46,0.5,0,0.41,0.61,0.63,0.75,0.68,0.46,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0.36,0,0,0,0,0.55,0.27,0.54,0,0.3,0.43,0,0,0.25,0.41,0,0.55,0.68,0.11,0.18,0.33,0,0.64,0.48,0.76,0.57,0.51,0.44,0.41,0.28,0,0.29,0.14,0.12,0.57,0.73,0.68,0.91,0.46,0.5,0,0.32,0.33,0.52,0.58,0.22,0.45,0.76,0.72,0.17
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.45,0.23,0.45,0.09,0.43,0.41,0.43,0.43,0.3,0.41,0.39,0.07,0.18,0.27,0.37,0.43,0.43,0.37,0.37,0.45,0.45,0.41,0.29,0.25,0,0.16,0.07,0.14,0.23,0,0.21,0.37,0.18,0.41,0.18,0.45,0.43,0.54,0.39,0.34,0.52,0.45,0.43,0.43,0.45,0.43,0.39,0.18,0.2,0.45,0.41,0.43,0.57,0.57,0.45,0.27,0,0.2,0.43,0.39,0.13,0.55,0.36,0.43,0.32,0.45,0.45,0.45,0.43,0.43,0.43,0.43,0.39,0.09,0.52,0.41,0.39,0.45,0.16,0.3,0.46,0.25,0.3,0.41,0.29,0.3,0.5,0.46,0,0.21,0,0,0.45,0,0.66,0.25,0.45,0.15,0.36,0.21,0,0.24,0.32,0,0.39,0.49,0.3,0.43,0.43,0.4,0,0.17,0.35,0.22,0.36,0.18,0,0.25,0.55,0.41
"Amusement and Recreation Attendants",0.36,0.25,0.29,0,0.39,0.29,0.29,0.39,0.29,0.34,0.3,0,0.07,0.29,0.3,0.37,0.29,0.3,0.36,0.39,0.34,0.3,0.16,0.16,0,0.2,0.09,0,0.13,0,0.2,0.32,0.13,0.29,0,0.3,0.32,0.43,0.29,0.29,0.36,0.3,0.29,0.34,0.3,0.3,0.3,0.21,0.2,0.07,0.29,0.29,0.52,0.43,0.39,0.29,0,0.2,0.29,0.21,0.2,0.29,0.16,0.3,0.25,0.21,0.29,0.29,0.13,0.32,0.29,0.29,0.05,0.18,0.14,0.43,0.27,0.43,0,0.21,0.32,0.09,0,0.21,0.18,0,0.43,0.48,0,0.22,0,0.08,0.31,0.13,0.53,0.13,0.19,0.39,0.31,0,0.09,0.12,0.23,0,0.37,0.35,0.21,0.18,0.39,0.14,0,0.17,0.23,0.08,0.31,0,0.18,0,0.26,0
"Anesthesiologist Assistants",0.55,0.41,0.61,0.41,0.54,0.5,0.52,0.54,0.46,0.55,0.48,0.18,0.29,0.41,0.45,0.5,0.46,0.41,0.41,0.5,0.52,0.52,0.41,0.45,0,0.41,0.2,0.32,0.25,0.09,0.36,0.5,0.27,0.48,0,0.43,0.52,0.59,0.41,0.37,0.55,0.55,0.45,0.54,0.52,0.54,0.43,0.48,0.43,0,0.43,0.54,0.55,0.59,0.59,0.43,0,0.2,0.37,0.34,0,0.37,0.23,0.37,0.27,0.41,0.48,0.41,0.29,0.5,0.46,0.48,0.25,0.3,0.37,0.52,0.41,0.5,0,0.43,0.43,0.14,0,0.36,0.46,0,0.63,0.61,0,0.23,0.29,0,0.22,0.12,0.67,0.17,0.28,0,0.27,0.11,0,0.26,0.37,0,0.44,0.48,0.4,0.6,0.35,0.26,0,0,0,0.53,0.5,0.41,0.34,0.49,0.55,0.14
"Anesthesiologists",0.61,0.48,0.7,0.55,0.57,0.57,0.59,0.63,0.48,0.63,0.57,0.32,0.32,0.5,0.57,0.54,0.54,0.41,0.48,0.54,0.54,0.61,0.46,0.46,0,0.37,0.14,0.07,0,0,0.32,0.52,0,0.45,0.39,0.45,0.55,0.79,0.46,0.43,0.68,0.68,0.46,0.59,0.55,0.54,0.41,0.43,0.45,0,0.34,0.57,0.71,0.7,0.7,0.32,0,0.18,0.27,0.23,0,0.3,0.21,0.36,0.2,0.41,0.43,0.37,0.23,0.55,0.54,0.45,0,0.3,0.29,0.57,0.39,0.55,0,0.37,0.39,0,0,0.3,0.41,0,0.59,0.6,0,0.22,0.23,0,0.48,0.25,0.66,0.38,0.29,0.12,0.27,0.17,0,0.36,0.34,0,0.5,0.61,0.43,0.92,0.25,0.38,0,0.23,0,0.63,0.51,0.54,0.26,0.72,0.67,0
"Animal Breeders",0.43,0.3,0.41,0.41,0.39,0.39,0.39,0.46,0.29,0.43,0.41,0.23,0.25,0.25,0.39,0.32,0.23,0.21,0.34,0.3,0.34,0.43,0.32,0.27,0,0.39,0,0.07,0,0.07,0.23,0.39,0,0.37,0.18,0.25,0.32,0.43,0.25,0.27,0.45,0.43,0.43,0.43,0.37,0.39,0.27,0.3,0.29,0.18,0.36,0.3,0.43,0.45,0.43,0.21,0,0.25,0.36,0.3,0.16,0.41,0.36,0.43,0.3,0.29,0.39,0.43,0.23,0.43,0.45,0.39,0.27,0.13,0.23,0.41,0.25,0.36,0.14,0.29,0.41,0.13,0.07,0.3,0.3,0.07,0.45,0.43,0,0,0,0,0.57,0.51,0.72,0.2,0.57,0.68,0.29,0.18,0.35,0.29,0.43,0.2,0.44,0.36,0,0.36,0.27,0.3,0.27,0.47,0.22,0.43,0.52,0.18,0.19,0.49,0.22,0.36
"Animal Caretakers",0.43,0.27,0.41,0.07,0.39,0.36,0.3,0.41,0.29,0.41,0.32,0.11,0.13,0.25,0.29,0.36,0.29,0.23,0.25,0.41,0.32,0.3,0.25,0.23,0,0.21,0.09,0.09,0.07,0,0.18,0.2,0,0.11,0,0.3,0.34,0.46,0.25,0.27,0.43,0.41,0.37,0.39,0.3,0.3,0.29,0.25,0.21,0.07,0.29,0.32,0.46,0.46,0.39,0.29,0,0.18,0.43,0.29,0.09,0.45,0.3,0.43,0.32,0.11,0.27,0.3,0,0.39,0.34,0.32,0.2,0.07,0.09,0.41,0.3,0.43,0.11,0.23,0.37,0,0,0.21,0.29,0,0.43,0.52,0,0.1,0.15,0.12,0.35,0.19,0.62,0.31,0.43,0.29,0.32,0.13,0.12,0.18,0.25,0.16,0.37,0.39,0.24,0.24,0.31,0.16,0.14,0.22,0.18,0.34,0.33,0.12,0.19,0.31,0.35,0.19
"Animal Control Workers",0.48,0.18,0.43,0,0.43,0.41,0.41,0.5,0.37,0.41,0.39,0.11,0.14,0.29,0.41,0.43,0.37,0.36,0.41,0.41,0.41,0.41,0.27,0.3,0,0.18,0,0.05,0,0.05,0.05,0.25,0,0.21,0.2,0.43,0.39,0.55,0.41,0.37,0.48,0.55,0.43,0.41,0.29,0.41,0.3,0.18,0.21,0.23,0.3,0.43,0.55,0.55,0.5,0.23,0.05,0.21,0.39,0.32,0.14,0.45,0.27,0.37,0.27,0.34,0.36,0.39,0.29,0.41,0.36,0.41,0.2,0.11,0.32,0.43,0.3,0.43,0.29,0.3,0.46,0.25,0.16,0.32,0.29,0.23,0.43,0.53,0,0.2,0.36,0,0.51,0.27,0.88,0.33,0.63,0.17,0.35,0.32,0,0.17,0.28,0.15,0.4,0.42,0.3,0.3,0.58,0.62,0.24,0.25,0.32,0.28,0.32,0.18,0.33,0.36,0.47,0.24
"Animal Scientists",0.57,0.5,0.66,0.63,0.59,0.61,0.63,0.61,0.46,0.57,0.59,0.13,0.21,0.41,0.46,0.46,0.48,0.41,0.43,0.41,0.48,0.64,0.52,0.55,0,0.43,0.14,0,0,0.14,0.14,0.41,0,0.32,0.43,0.39,0.41,0.59,0.54,0.5,0.63,0.7,0.57,0.57,0.37,0.43,0.34,0.5,0.48,0.11,0.43,0.64,0.71,0.7,0.68,0.37,0,0,0.07,0.09,0.05,0.09,0.05,0.25,0.05,0.11,0.29,0.29,0.05,0.09,0.21,0,0,0.11,0.11,0.57,0.32,0.54,0,0.18,0.46,0.11,0,0.27,0.36,0,0.55,0.75,0.24,0.3,0.34,0,0.62,0.42,0.59,0.47,0.56,0.53,0.47,0.23,0.41,0.51,0.42,0.4,0.61,0.78,0.25,0.42,0.43,0.47,0.71,0.52,0.46,0.72,0.76,0.53,0.31,0.83,0.42,0.4
"Animal Trainers",0.43,0.23,0.45,0.2,0.43,0.39,0.45,0.48,0.55,0.5,0.39,0.21,0.25,0.36,0.39,0.43,0.45,0.32,0.41,0.43,0.43,0.41,0.37,0.37,0,0.3,0.11,0,0,0,0.18,0.21,0,0.25,0.14,0.41,0.41,0.57,0.45,0.46,0.5,0.46,0.41,0.43,0.34,0.39,0.36,0.27,0.25,0.27,0.36,0.41,0.57,0.55,0.43,0.32,0,0.27,0.45,0.41,0.07,0.43,0.39,0.43,0.39,0.36,0.39,0.43,0.25,0.39,0.39,0.41,0.32,0.23,0.34,0.43,0.34,0.41,0.25,0.32,0.45,0.2,0.21,0.34,0.3,0.27,0.45,0.43,0,0.13,0.13,0,0.42,0.31,0.6,0.31,0.49,0.4,0.29,0.13,0.19,0.22,0.24,0.22,0.36,0.62,0.3,0.27,0.34,0.31,0,0.22,0.21,0.13,0.28,0.06,0.3,0.3,0.52,0.21
"Anthropologists and Archeologists",0.61,0.46,0.7,0.62,0.65,0.71,0.6,0.62,0.55,0.54,0.56,0.21,0.25,0.46,0.46,0.5,0.55,0.37,0.44,0.38,0.52,0.57,0.51,0.47,0,0.14,0.13,0,0,0.19,0,0.19,0,0,0.39,0.31,0.46,0.56,0.57,0.55,0.66,0.68,0.59,0.57,0.37,0.52,0.49,0.38,0.46,0,0.46,0.71,0.72,0.71,0.69,0.4,0,0,0,0,0,0,0,0.29,0,0,0.22,0.21,0,0,0.32,0,0,0,0,0.63,0.18,0.54,0,0.21,0.52,0,0,0.3,0.37,0,0.57,0.77,0.9,0.63,0.57,0.24,0.53,0.28,0.37,0.4,0.57,0.24,0.58,0.13,0.17,0.22,0.24,0.32,0.59,0.74,0,0.22,0.24,0.43,0,0,0.77,0.35,0.57,0.2,0.92,0.5,0.44,0.25
"Anthropology and Archeology Teachers, Postsecondary",0.63,0.45,0.71,0.57,0.7,0.71,0.63,0.61,0.61,0.59,0.55,0.14,0.2,0.43,0.52,0.45,0.61,0.43,0.43,0.43,0.54,0.57,0.48,0.52,0,0.05,0.07,0,0,0.07,0,0,0,0,0.34,0.41,0.43,0.54,0.54,0.55,0.59,0.59,0.57,0.55,0.34,0.43,0.34,0.34,0.43,0,0.3,0.71,0.73,0.71,0.71,0.43,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0.09,0.14,0.09,0,0.11,0,0.7,0.2,0.48,0,0.11,0.43,0,0,0.09,0.2,0,0.55,0.92,0.91,0.68,0.75,0.36,0.5,0.23,0.56,0.5,0.61,0.28,0.7,0.13,0.13,0.19,0.17,0.27,0.58,0.9,0.41,0.34,0.24,0.43,0.16,0,0.82,0.34,0.58,0.25,0.99,0.46,0.62,0.24
"Appraisers and Assessors of Real Estate",0.54,0.53,0.57,0.13,0.55,0.54,0.47,0.55,0.29,0.4,0.43,0.22,0.19,0.29,0.42,0.38,0.3,0.38,0.39,0.42,0.42,0.53,0.42,0.31,0,0.23,0.05,0,0,0.08,0.1,0.25,0,0.25,0.12,0.37,0.4,0.46,0.42,0.39,0.58,0.54,0.51,0.51,0.36,0.43,0.38,0.48,0.47,0.21,0.37,0.55,0.58,0.56,0.56,0.31,0,0,0,0.13,0,0,0,0.16,0,0.14,0.26,0.2,0.09,0.26,0.28,0.18,0,0,0.13,0.47,0.25,0.48,0.06,0.22,0.45,0.09,0.11,0.28,0.29,0.09,0.57,0.63,0,0,0,0,0.53,0.44,0.64,0.32,0.65,0.3,0.29,0.19,0.52,0,0.19,0.36,0.62,0.47,0,0,0.37,0.58,0,0,0.48,0,0.61,0,0.22,0,0.26,0.31
"Arbitrators, Mediators, and Conciliators",0.7,0.29,0.61,0.09,0.68,0.63,0.57,0.68,0.43,0.5,0.54,0,0,0.23,0.43,0.45,0.45,0.71,0.63,0.45,0.52,0.59,0.41,0.41,0,0,0.05,0,0,0.07,0,0,0,0,0.14,0.29,0.41,0.55,0.5,0.46,0.61,0.57,0.45,0.46,0.3,0.41,0.41,0.3,0.29,0,0.29,0.66,0.73,0.73,0.68,0.3,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.13,0,0,0,0,0.59,0.11,0.57,0,0.11,0.37,0,0,0,0.16,0,0.61,0.81,0,0,0.2,0,0.41,0.34,0.37,0.63,0.51,0.13,0.36,0.14,0,0,0,0,0.31,0.44,0.4,0,0.24,0.75,0,0,0,0,0.41,0,0.31,0,0.57,0.21
"Architects, Except Landscape and Naval",0.61,0.59,0.68,0.43,0.57,0.59,0.59,0.64,0.45,0.63,0.61,0.48,0.43,0.5,0.52,0.57,0.41,0.5,0.5,0.48,0.46,0.64,0.52,0.54,0,0.46,0.29,0,0,0.18,0.21,0.29,0,0.25,0.63,0.39,0.45,0.66,0.63,0.61,0.71,0.59,0.61,0.57,0.45,0.55,0.45,0.59,0.55,0.25,0.68,0.59,0.7,0.7,0.63,0.41,0,0,0,0,0,0,0,0.14,0,0,0.3,0.16,0,0.27,0.34,0.25,0,0.09,0,0.52,0.27,0.52,0,0.2,0.57,0,0,0.36,0.41,0,0.64,0.6,0.46,0.2,0.35,0.5,0.65,0.5,0.69,0.52,0.58,0.59,0.42,0.33,0.86,0.78,0.49,0.97,0.69,0.61,0.13,0,0.66,0.61,0.12,0.49,0.58,0.33,0.59,0.48,0.45,0.22,0.42,0.34
"Architectural and Civil Drafters",0.48,0.54,0.54,0.29,0.47,0.47,0.45,0.53,0.42,0.47,0.46,0.2,0.19,0.39,0.43,0.45,0.41,0.35,0.37,0.36,0.41,0.47,0.45,0.42,0,0.4,0.14,0,0,0.21,0.09,0.29,0,0,0.42,0.31,0.43,0.51,0.43,0.46,0.51,0.5,0.53,0.55,0.39,0.47,0.36,0.46,0.48,0,0.59,0.54,0.56,0.57,0.57,0.29,0,0,0,0,0,0,0,0.13,0,0,0.31,0,0,0.35,0.37,0.29,0,0,0,0.45,0.22,0.46,0,0.2,0.47,0,0,0.26,0.37,0,0,0.56,0.13,0.2,0,0,0.48,0.2,0.46,0.21,0.44,0.34,0.32,0.24,0.72,0.78,0.4,0.86,0.69,0.5,0,0,0.47,0.38,0,0.34,0.51,0.21,0.59,0.39,0,0.12,0.17,0.35
"Architectural and Engineering Managers",0.57,0.61,0.63,0.39,0.57,0.59,0.55,0.61,0.45,0.57,0.61,0.46,0.43,0.55,0.57,0.59,0.54,0.55,0.54,0.46,0.52,0.61,0.52,0.46,0,0.45,0.25,0,0,0.16,0.29,0.37,0,0.16,0.32,0.37,0.46,0.59,0.59,0.57,0.61,0.61,0.55,0.55,0.43,0.5,0.43,0.57,0.59,0.07,0.61,0.66,0.68,0.68,0.68,0.41,0,0,0,0,0,0,0,0.11,0,0,0.29,0.11,0,0.25,0.32,0.27,0,0,0,0.57,0.29,0.55,0,0.23,0.52,0,0,0.3,0.45,0,0.57,0.62,0.16,0.17,0.2,0,0.64,0.42,0.74,0.54,0.6,0.44,0.35,0.33,0.51,0.76,0.56,0.78,0.64,0.51,0,0.15,0.49,0.48,0,0.59,0.44,0.42,0.7,0.56,0.21,0.21,0.28,0.37
"Architecture Teachers, Postsecondary",0.63,0.54,0.71,0.37,0.7,0.71,0.64,0.63,0.63,0.59,0.61,0.16,0.29,0.43,0.5,0.45,0.7,0.43,0.43,0.46,0.52,0.59,0.46,0.5,0,0.18,0.13,0,0,0.14,0,0.18,0,0,0.45,0.36,0.39,0.59,0.55,0.59,0.59,0.59,0.57,0.59,0.3,0.43,0.32,0.46,0.46,0.09,0.59,0.71,0.75,0.73,0.71,0.41,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0.11,0.21,0,0,0.09,0,0.73,0.25,0.52,0,0.13,0.46,0,0,0.2,0.32,0,0.57,0.8,0.54,0.33,0.53,0.64,0.53,0.22,0.54,0.36,0.48,0.49,0.69,0.28,0.72,0.61,0.4,0.87,0.61,0.83,0.35,0,0.61,0.57,0,0.23,0.58,0.23,0.56,0.4,0.63,0.23,0.52,0.29
"Archivists",0.55,0.3,0.57,0.16,0.55,0.57,0.46,0.55,0.41,0.45,0.45,0.27,0.3,0.43,0.43,0.43,0.45,0.37,0.41,0.43,0.43,0.46,0.45,0.41,0,0.21,0.18,0,0,0.13,0.09,0.21,0,0,0.3,0.3,0.41,0.45,0.48,0.43,0.54,0.48,0.55,0.57,0.3,0.32,0.32,0.34,0.29,0,0.32,0.57,0.55,0.59,0.61,0.34,0,0.14,0.2,0.13,0,0.27,0.14,0.27,0.13,0,0.09,0.21,0,0.27,0.29,0.23,0,0,0,0.45,0.2,0.45,0,0.2,0.43,0,0,0.16,0.39,0,0.57,0.68,0.73,0.3,0.31,0.2,0.6,0.25,0.73,0.48,0.74,0.35,0.48,0.07,0.18,0.12,0.21,0.23,0.65,0.61,0,0,0.38,0.51,0,0.22,0.46,0.35,0.34,0.08,0.45,0.08,0.24,0.12
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.61,0.3,0.7,0.39,0.68,0.7,0.57,0.59,0.57,0.55,0.52,0.23,0.23,0.45,0.54,0.43,0.55,0.34,0.45,0.43,0.5,0.52,0.43,0.43,0,0.09,0.14,0,0,0.14,0,0.05,0,0,0.39,0.37,0.39,0.46,0.52,0.54,0.54,0.54,0.43,0.45,0.3,0.32,0.3,0.3,0.32,0,0.3,0.7,0.71,0.7,0.7,0.41,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0.11,0,0,0,0,0.66,0.27,0.46,0,0.18,0.37,0,0,0.05,0.18,0,0.55,0.85,0.66,0.63,0.67,0.34,0.41,0.22,0.48,0.39,0.5,0.19,0.64,0.2,0,0,0,0.15,0.54,0.86,0.34,0,0.27,0.43,0,0,0.59,0,0.3,0,0.72,0.1,0.51,0.24
"Art Directors",0.57,0.41,0.55,0.05,0.57,0.57,0.54,0.57,0.46,0.54,0.52,0.48,0.41,0.5,0.55,0.59,0.52,0.5,0.52,0.46,0.45,0.54,0.43,0.5,0,0.34,0.14,0.18,0.13,0.13,0.18,0.2,0.14,0,0.46,0.36,0.39,0.52,0.57,0.63,0.57,0.54,0.57,0.55,0.41,0.43,0.43,0.37,0.46,0,0.57,0.55,0.59,0.57,0.55,0.37,0,0,0,0,0,0,0,0,0,0,0.21,0,0.13,0.29,0.34,0.29,0,0,0.13,0.5,0.25,0.52,0,0.14,0.52,0,0,0.16,0.59,0,0.59,0.72,0.28,0,0.29,0.72,0.64,0.31,0.69,0.45,0.57,0.74,0.79,0.39,0,0.32,0.16,0.59,0.74,0.46,0.2,0,0.1,0.3,0,0.42,0.41,0,0.45,0,0.62,0,0.37,0
"Art Therapists",0.57,0.3,0.57,0.25,0.59,0.57,0.55,0.57,0.55,0.57,0.54,0.13,0.2,0.45,0.48,0.46,0.43,0.43,0.46,0.59,0.7,0.55,0.45,0.46,0,0.13,0.14,0.14,0,0.13,0,0.16,0,0,0.3,0.3,0.43,0.57,0.57,0.55,0.57,0.57,0.46,0.5,0.32,0.43,0.36,0.3,0.3,0,0.43,0.59,0.61,0.63,0.59,0.3,0,0.11,0.09,0.11,0.16,0.25,0,0.13,0.18,0.16,0.27,0.18,0,0.41,0.43,0.3,0,0.11,0.14,0.55,0.23,0.55,0,0.27,0.43,0,0,0,0.45,0,0.57,0.58,0.26,0.19,0.6,0.79,0.48,0.17,0.74,0.37,0.53,0.31,0.39,0.12,0,0,0.1,0.29,0.41,0.69,0.99,0.34,0.37,0.43,0,0.12,0.13,0.14,0.27,0,0.73,0.17,0.98,0.12
"Art, Drama, and Music Teachers, Postsecondary",0.59,0.3,0.66,0.16,0.68,0.59,0.61,0.55,0.61,0.55,0.48,0.21,0.29,0.41,0.54,0.45,0.68,0.39,0.43,0.41,0.54,0.52,0.43,0.43,0,0.11,0.09,0,0,0.05,0,0.07,0.07,0,0.37,0.34,0.39,0.45,0.57,0.57,0.55,0.54,0.54,0.52,0.3,0.34,0.3,0.27,0.29,0,0.43,0.68,0.71,0.71,0.71,0.43,0,0,0.05,0,0,0.11,0.07,0.25,0,0,0.27,0.14,0,0.3,0.3,0.3,0,0.09,0.07,0.66,0.29,0.55,0,0.27,0.46,0,0,0.11,0.43,0,0.57,0.76,0.59,0.43,0.63,0.93,0.49,0.18,0.47,0.36,0.47,0.26,0.61,0.26,0.23,0.26,0.28,0.48,0.54,0.87,0.4,0.14,0.3,0.3,0,0.18,0.41,0.2,0.37,0.2,0.54,0.19,0.53,0.22
"Astronomers",0.59,0.71,0.73,0.71,0.7,0.71,0.68,0.61,0.54,0.55,0.55,0.36,0.3,0.45,0.46,0.43,0.55,0.39,0.43,0.45,0.45,0.54,0.46,0.45,0,0.16,0.32,0.13,0.11,0.3,0.11,0.3,0.11,0.13,0.46,0.37,0.46,0.55,0.61,0.55,0.7,0.68,0.59,0.59,0.45,0.64,0.41,0.59,0.7,0.07,0.46,0.71,0.73,0.73,0.71,0.41,0,0,0.07,0,0,0,0,0.07,0,0,0.13,0,0,0.09,0.27,0.09,0,0,0,0.57,0.2,0.5,0,0.18,0.57,0,0.11,0.25,0.43,0,0.57,0.69,0.12,0.31,0,0,0.54,0.14,0.17,0.34,0.31,0.16,0.47,0.29,0,0.76,0.4,0.45,0.86,0.78,0,0,0.13,0.2,0,0,0.33,0.69,0.95,0.93,0,0.2,0.11,0.15
"Athletes and Sports Competitors",0.46,0.21,0.43,0.14,0.43,0.41,0.43,0.45,0.43,0.43,0.41,0.14,0.16,0.36,0.43,0.54,0.43,0.34,0.36,0.39,0.43,0.41,0.3,0.34,0,0.2,0.13,0,0.13,0,0.14,0.27,0,0.2,0.29,0.41,0.45,0.43,0.43,0.43,0.43,0.45,0.36,0.43,0.41,0.39,0.3,0.21,0.21,0.2,0.41,0.41,0.55,0.55,0.43,0.3,0.32,0.45,0.54,0.57,0.57,0.55,0.57,0.48,0.57,0.37,0.32,0.46,0.29,0.45,0.43,0.46,0.37,0.2,0.34,0.45,0.39,0.43,0.11,0.32,0.48,0.18,0.14,0.34,0.29,0.21,0.5,0.46,0.14,0.28,0.21,0,0.53,0.45,0.62,0.6,0.48,0.53,0.5,0.3,0.23,0.31,0.4,0.34,0.4,0.56,0.31,0.21,0.41,0.24,0.21,0.36,0.29,0.24,0.45,0.29,0.28,0,0.4,0.38
"Athletic Trainers",0.57,0.3,0.55,0.27,0.57,0.55,0.57,0.59,0.55,0.59,0.48,0.16,0.21,0.37,0.43,0.43,0.54,0.36,0.46,0.52,0.57,0.54,0.43,0.43,0,0.37,0.25,0.11,0,0,0.2,0.32,0,0.25,0.32,0.36,0.45,0.68,0.48,0.45,0.59,0.59,0.46,0.55,0.43,0.52,0.41,0.29,0.29,0,0.5,0.55,0.57,0.57,0.55,0.39,0.14,0.21,0.39,0.39,0.23,0.43,0.32,0.43,0.41,0.13,0.29,0.43,0.05,0.41,0.43,0.41,0.21,0.18,0.05,0.54,0.34,0.54,0,0.34,0.43,0,0,0.29,0.39,0,0.52,0.54,0,0.1,0.25,0,0.5,0.1,0.76,0.44,0.59,0.23,0.3,0,0.08,0.21,0.25,0.27,0.49,0.58,0.65,0.64,0.35,0.27,0,0.25,0.14,0.32,0.39,0.37,0.47,0.49,0.68,0.2
"Atmospheric and Space Scientists",0.61,0.55,0.7,0.7,0.59,0.57,0.57,0.59,0.46,0.52,0.57,0.18,0.2,0.43,0.45,0.45,0.54,0.41,0.45,0.45,0.46,0.55,0.52,0.45,0,0.14,0.18,0,0,0.2,0,0.25,0,0,0.43,0.39,0.45,0.59,0.48,0.43,0.63,0.61,0.54,0.54,0.43,0.57,0.41,0.46,0.54,0,0.39,0.68,0.7,0.71,0.71,0.39,0,0,0,0,0,0,0,0.13,0,0,0.13,0,0,0.11,0.18,0.13,0,0,0,0.59,0.29,0.48,0,0.25,0.45,0,0,0.16,0.43,0,0.57,0.67,0.16,0.14,0,0,0.51,0.15,0.59,0.33,0.35,0.29,0.56,0.34,0.09,0.54,0.12,0.34,0.72,0.62,0,0,0.46,0.36,0,0.19,0.79,0.52,0.78,0.76,0.25,0.31,0.27,0.29
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.66,0.57,0.73,0.59,0.68,0.68,0.61,0.61,0.61,0.59,0.55,0.2,0.3,0.41,0.52,0.45,0.61,0.43,0.43,0.46,0.52,0.57,0.52,0.46,0,0.11,0.11,0,0,0.14,0,0.14,0,0,0.41,0.3,0.39,0.59,0.55,0.55,0.61,0.61,0.57,0.57,0.3,0.39,0.32,0.48,0.57,0,0.32,0.73,0.75,0.73,0.73,0.43,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.13,0,0,0.07,0,0.73,0.25,0.54,0,0.16,0.43,0,0,0.11,0.25,0,0.57,0.73,0.42,0.17,0.3,0.17,0.46,0.21,0.57,0.48,0.45,0.2,0.55,0.3,0.15,0.46,0.35,0.29,0.67,0.87,0.35,0.23,0.38,0.33,0,0.14,0.72,0.63,0.79,0.68,0.42,0.69,0.48,0.15
"Audio and Video Technicians",0.46,0.29,0.52,0,0.45,0.45,0.43,0.54,0.43,0.48,0.43,0.14,0.25,0.39,0.43,0.45,0.43,0.36,0.36,0.45,0.43,0.41,0.41,0.39,0.3,0.43,0.25,0.32,0.34,0.18,0.41,0.45,0.36,0.43,0.23,0.41,0.45,0.54,0.41,0.41,0.48,0.52,0.45,0.55,0.45,0.46,0.36,0.29,0.32,0.07,0.5,0.5,0.55,0.57,0.54,0.3,0,0.16,0.27,0.18,0.14,0.32,0.23,0.29,0.2,0.21,0.43,0.3,0.27,0.45,0.45,0.45,0,0.29,0.29,0.43,0.43,0.43,0.13,0.46,0.52,0,0,0.3,0.46,0,0.57,0.57,0.19,0,0.21,0.61,0.57,0.14,0.53,0.35,0.43,0.23,0.67,0.54,0.27,0.58,0.44,0.51,0.69,0.52,0.13,0,0.42,0.38,0,0.32,0.25,0.18,0.44,0.38,0.23,0,0.37,0.25
